,2023-06-09,2023-06-16,2023-06-23,2023-06-30,2023-07-07,2023-07-14,2023-07-21,2023-07-28,2023-08-04,2023-08-11,2023-08-18,2023-08-25,2023-09-01,2023-09-08,2023-09-15,2023-09-22,2023-09-29,2023-10-06,2023-10-13,2023-10-20,2023-10-27,2023-11-03,2023-11-10,2023-11-17,2023-11-24,2023-12-01,2023-12-08,2023-12-15,2023-12-22,2023-12-29,2024-01-05,2024-01-12,2024-01-19,2024-01-26,2024-02-02,2024-02-09,2024-02-16,2024-02-23,2024-03-01,2024-03-08,2024-03-15,2024-03-22,2024-03-29,2024-04-05,2024-04-12,2024-04-19,2024-04-26,2024-05-03,2024-05-10,2024-05-17,2024-05-24,2024-05-31,2024-06-07,2024-06-14,2024-06-21,2024-06-28,2024-07-05,2024-07-12,2024-07-19,2024-07-26,2024-08-02,2024-08-09,2024-08-16,2024-08-23,2024-08-30,2024-09-06,2024-09-13
Total New Arrivals to Date,,10000,10500,11000,11000,11000,11500,11500,12000,12000,13000,13000,13500,13500,14000,14500,15500,18000,18500,18500,19500,20221,20754,23000,23000,23387,24012,25800,26492,28261,29657,34562,34621,34904,35193,35393,35644,35901,36178,36589,37124,37667,38142,38650,39158,39666,40345,40916,41279,41728,42201,42637,43058,43465,43751,44153,44390,44655,44963,45370,45779,46186,46611,46926,47292,47580,47958
Total Exits from Sheltering System (Individuals),,,,,2542,3246,3465,3670,3840,3995,4124,4225,4499,4840,5119,5322,5498,5498,6041,6523,6523,7553,7959,8280,8908,8908,10302,11069,11893,12799,13809,14579,15365,16216,17264,18070,18715,19332,19977,20716,21473,22343,23196,24149,25029,26279,26858,27676,28372,28912,29525,30104,30741,31340,31840,32501,32871,33157,33456,33746,34008,34322,34593,34876,35119,35417,35608
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INACTIVE DATA SETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total New Arrivals Placed in Shelters by 311 to Date,3643,3643,3817,3868,3956,4047,4251,4329,4416,4556,4576,4627,4661,4706,4717,4820,4939,5086,5096,5282,5536,5586,5698,5707,5888,,6801,6801,6986,7105,7138,7155,7159,7160,7170,7175,7178,7182,7182,7183,7199,7202,7206,7206,7208,7208,7211,7212,7213,7217,7217,7217,7217,7218,7218,7220,7220,,,,,,,,,,
