ID,Housing Locations,of People,Data Received Date,Status
Social Club - Shelter- 2023-07-07,Social Club - Shelter,1167,7/7/2023 12:00am,Old Census Update
Police Districts (All) - Staging Area- 2023-07-07,Police Districts (All) - Staging Area,760,7/7/2023 12:00am,Old Census Update
Wadsworth - Shelter- 2023-07-07,Wadsworth - Shelter,568,7/7/2023 12:00am,Old Census Update
Daley College - Shelter- 2023-07-07,Daley College - Shelter,407,7/7/2023 12:00am,Old Census Update
Wright College - Shelter- 2023-07-07,Wright College - Shelter,398,7/7/2023 12:00am,Old Census Update
YWLA - Shelter- 2023-07-07,YWLA - Shelter,246,7/7/2023 12:00am,Old Census Update
Gage Park - Shelter- 2023-07-07,Gage Park - Shelter,246,7/7/2023 12:00am,Old Census Update
Piotrowski Park - Shelter- 2023-07-07,Piotrowski Park - Shelter,200,7/7/2023 12:00am,Old Census Update
North Park Village - Shelter- 2023-07-07,North Park Village - Shelter,144,7/7/2023 12:00am,Old Census Update
Brands Park - Shelter- 2023-07-07,Brands Park - Shelter,130,7/7/2023 12:00am,Old Census Update
High Ridge YMCA - Shelter- 2023-07-07,High Ridge YMCA - Shelter,124,7/7/2023 12:00am,Old Census Update
Leone Beach - Shelter- 2023-07-07,Leone Beach - Shelter,103,7/7/2023 12:00am,Old Census Update
O'Hare Airport - Staging Area- 2023-07-07,O'Hare Airport - Staging Area,32,7/7/2023 12:00am,Old Census Update
New Life Church - Shelter- 2023-07-07,New Life Church - Shelter,25,7/7/2023 12:00am,Old Census Update
Inn of Chicago - Shelter- 2023-06-30,Inn of Chicago - Shelter,1388,6/30/2023 12:00am,Old Census Update
Social Club - Shelter- 2023-06-30,Social Club - Shelter,1147,6/30/2023 12:00am,Old Census Update
Police Districts (All) - Staging Area- 2023-06-30,Police Districts (All) - Staging Area,687,6/30/2023 12:00am,Old Census Update
Wadsworth - Shelter- 2023-06-30,Wadsworth - Shelter,591,6/30/2023 12:00am,Old Census Update
Wright College - Shelter- 2023-06-30,Wright College - Shelter,393,6/30/2023 12:00am,Old Census Update
Daley College - Shelter- 2023-06-30,Daley College - Shelter,392,6/30/2023 12:00am,Old Census Update
YWLA - Shelter- 2023-06-30,YWLA - Shelter,243,6/30/2023 12:00am,Old Census Update
Gage Park - Shelter- 2023-06-30,Gage Park - Shelter,206,6/30/2023 12:00am,Old Census Update
Piotrowski Park - Shelter- 2023-06-30,Piotrowski Park - Shelter,197,6/30/2023 12:00am,Old Census Update
Brands Park - Shelter- 2023-06-30,Brands Park - Shelter,160,6/30/2023 12:00am,Old Census Update
High Ridge YMCA - Shelter- 2023-06-30,High Ridge YMCA - Shelter,149,6/30/2023 12:00am,Old Census Update
North Park Village - Shelter- 2023-06-30,North Park Village - Shelter,126,6/30/2023 12:00am,Old Census Update
Leone Beach - Shelter- 2023-06-30,Leone Beach - Shelter,80,6/30/2023 12:00am,Old Census Update
O'Hare Airport - Staging Area- 2023-06-30,O'Hare Airport - Staging Area,0,6/30/2023 12:00am,Old Census Update
Inn of Chicago - Shelter- 2023-06-23,Inn of Chicago - Shelter,1398,6/23/2023 12:00am,Old Census Update
Social Club - Shelter- 2023-06-23,Social Club - Shelter,1084,6/23/2023 12:00am,Old Census Update
Wadsworth - Shelter- 2023-06-23,Wadsworth - Shelter,588,6/23/2023 12:00am,Old Census Update
Police Districts (All) - Staging Area- 2023-06-23,Police Districts (All) - Staging Area,460,6/23/2023 12:00am,Old Census Update
Daley College - Shelter- 2023-06-23,Daley College - Shelter,415,6/23/2023 12:00am,Old Census Update
Wright College - Shelter- 2023-06-23,Wright College - Shelter,383,6/23/2023 12:00am,Old Census Update
YWLA - Shelter- 2023-06-23,YWLA - Shelter,248,6/23/2023 12:00am,Old Census Update
Piotrowski Park - Shelter- 2023-06-23,Piotrowski Park - Shelter,200,6/23/2023 12:00am,Old Census Update
High Ridge YMCA - Shelter- 2023-06-23,High Ridge YMCA - Shelter,148,6/23/2023 12:00am,Old Census Update
Brands Park - Shelter- 2023-06-23,Brands Park - Shelter,144,6/23/2023 12:00am,Old Census Update
North Park Village - Shelter- 2023-06-23,North Park Village - Shelter,125,6/23/2023 12:00am,Old Census Update
Leone Beach - Shelter- 2023-06-23,Leone Beach - Shelter,97,6/23/2023 12:00am,Old Census Update
O'Hare Airport - Staging Area- 2023-06-23,O'Hare Airport - Staging Area,56,6/23/2023 12:00am,Old Census Update
Inn of Chicago - Shelter- 2023-06-16,Inn of Chicago - Shelter,1252,6/16/2023 12:00am,Old Census Update
Social Club - Shelter- 2023-06-16,Social Club - Shelter,1033,6/16/2023 12:00am,Old Census Update
Wadsworth - Shelter- 2023-06-16,Wadsworth - Shelter,598,6/16/2023 12:00am,Old Census Update
Daley College - Shelter- 2023-06-16,Daley College - Shelter,411,6/16/2023 12:00am,Old Census Update
Police Districts (All) - Staging Area- 2023-06-16,Police Districts (All) - Staging Area,387,6/16/2023 12:00am,Old Census Update
Wright College - Shelter- 2023-06-16,Wright College - Shelter,384,6/16/2023 12:00am,Old Census Update
YWLA - Shelter- 2023-06-16,YWLA - Shelter,248,6/16/2023 12:00am,Old Census Update
Piotrowski Park - Shelter- 2023-06-16,Piotrowski Park - Shelter,197,6/16/2023 12:00am,Old Census Update
Brands Park - Shelter- 2023-06-16,Brands Park - Shelter,155,6/16/2023 12:00am,Old Census Update
High Ridge YMCA - Shelter- 2023-06-16,High Ridge YMCA - Shelter,126,6/16/2023 12:00am,Old Census Update
North Park Village - Shelter- 2023-06-16,North Park Village - Shelter,102,6/16/2023 12:00am,Old Census Update
Leone Beach - Shelter- 2023-06-16,Leone Beach - Shelter,97,6/16/2023 12:00am,Old Census Update
Shield of Hope - Shelter- 2023-06-16,Shield of Hope - Shelter,90,6/16/2023 12:00am,Old Census Update
O'Hare Airport - Staging Area- 2023-06-16,O'Hare Airport - Staging Area,11,6/16/2023 12:00am,Old Census Update
Inn of Chicago - Shelter- 2023-06-09,Inn of Chicago - Shelter,1432,6/9/2023 12:00am,Old Census Update
Social Club - Shelter- 2023-06-09,Social Club - Shelter,1026,6/9/2023 12:00am,Old Census Update
Wadsworth - Shelter- 2023-06-09,Wadsworth - Shelter,596,6/9/2023 12:00am,Old Census Update
Police Districts (All) - Staging Area- 2023-06-09,Police Districts (All) - Staging Area,459,6/9/2023 12:00am,Old Census Update
Wright College - Shelter- 2023-06-09,Wright College - Shelter,368,6/9/2023 12:00am,Old Census Update
YWLA - Shelter- 2023-06-09,YWLA - Shelter,247,6/9/2023 12:00am,Old Census Update
Piotrowski Park - Shelter- 2023-06-09,Piotrowski Park - Shelter,195,6/9/2023 12:00am,Old Census Update
Daley College - Shelter- 2023-06-09,Daley College - Shelter,172,6/9/2023 12:00am,Old Census Update
Brands Park - Shelter- 2023-06-09,Brands Park - Shelter,169,6/9/2023 12:00am,Old Census Update
High Ridge YMCA - Shelter- 2023-06-09,High Ridge YMCA - Shelter,158,6/9/2023 12:00am,Old Census Update
Leone Beach - Shelter- 2023-06-09,Leone Beach - Shelter,100,6/9/2023 12:00am,Old Census Update
North Park Village - Shelter- 2023-06-09,North Park Village - Shelter,92,6/9/2023 12:00am,Old Census Update
Shield of Hope - Shelter- 2023-06-09,Shield of Hope - Shelter,92,6/9/2023 12:00am,Old Census Update
O'Hare Airport - Staging Area- 2023-06-09,O'Hare Airport - Staging Area,11,6/9/2023 12:00am,Old Census Update
